sentence,label
cat jumped onto windowsill,2
prefer tea coffee mornings,2
going concert tomorrow,2
sunset painted sky shades orange pink,2
favorite color turquoise,2
finish reading book yet,2
love listening jazz music rainy days,2
smell freshly baked bread fills air,2
ever paris,2
need buy new shoes work,2
ocean waves crash shore,2
lets go hike weekend,2
flowers garden blooming beautifully,2
see shooting star last night,2
cant wait summer vacation,2
phone battery almost dead,2
whats favorite movie genre,2
traffic highway terrible right,2
im thinking starting new hobby,2
tried new restaurant downtown,2
snow melting spring finally,2
believe aliens,2
im feeling sleepy lunch,2
smell freshcut grass reminds childhood,2
need organize closet weekend,2
lets plan beach day next saturday,2
love sound rain falling roof,2
ever seen double rainbow,2
cant find keys anywhere,2
favorite holiday halloween,2
im craving chocolate chip cookies right,2
mountains covered snow time year,2
hear new song radio,2
im excited new season favorite tv show,2
im terrible remembering peoples names,2
lets go stargazing tonight,2
need buy stamps letters,2
smell fresh laundry comforting,2
wish could speak another language fluently,2
ever skydiving,2
im planning road trip summer,2
smell barbecue always makes hungry,2
need renew library card,2
want learn play piano someday,2
leaves changing colors fall,2
need schedule dentist appointment,2
lets go walk park,2
im terrible cooking love eat,2
im considering adopting pet shelter,2
ever tried rock climbing,2
smell fresh coffee morning invigorating,2
love watching thunderstorms indoors,2
im saving vacation italy,2
im allergic shellfish cant eat sushi,2
lets plan picnic countryside,2
favorite childhood memory going beach family,2
im terrible remembering birthdays,2
want visit seven wonders world someday,2
ever hot air balloon ride,2
im thinking redecorating bedroom,2
smell sunscreen reminds summer vacations,2
prefer reading physical books ebooks,2
lets go ice skating rink downtown,2
im excited new star wars movie coming,2
im terrible singing love karaoke,2
want learn paint watercolors,2
sound laughter always brightens day,2
need buy new pair sunglasses beach,2
im thinking starting vegetable garden,2
smell barbecue reminds summer cookouts,2
love going farmers market weekends,2
lets plan trip zoo next weekend,2
favorite season spring flowers,2
im terrible parallel parking,2
im excited next marvel movie come,2
need schedule haircut appointment,2
want learn knit scarf,2
smell rain asphalt nostalgic,2
lets go apple picking orchard,2
im terrible remembering directions,2
im craving big bowl ramen noodles right,2
love watching documentaries space,2
want learn salsa dance,2
smell fresh basil reminds italy,2
im planning bake cake friends birthday,2
need buy new umbrella rainy season,2
lets plan weekend getaway mountains,2
favorite dessert cheesecake raspberry sauce,2
im terrible playing sports love watch,2
im excited next season favorite podcast,2
want learn make sushi home,2
smell freshbaked bread reminds home,2
im planning plant tree backyard,2
im terrible remembering phone numbers,2
im excited next book favorite series come,2
want learn calligraphy,2
smell barbecue reminds summer cookouts,2
im planning visit grandparents next weekend,2
im terrible fixing things around house,2
im excited next season favorite tv show start,2
want learn make pottery wheel,2
smell fresh roses fills room,2
im planning visit museum downtown next saturday,2
im terrible drawing want practice,2
im excited next concert park,2
want learn woodworking,2
smell fresh pine trees refreshing,2
im planning visit new coffee shop downtown next saturday,2
im terrible swimming want take lessons,2
im excited next movie favorite franchise,2
sky clear stars twinkled overhead,2
danced gracefully across stage captivating audience,2
aroma freshly baked cookies filled kitchen,2
rode bike winding forest trails,2
sound laughter echoed park,2
painted vivid sunset canvas,2
old oak tree provided shade hot summer days,2
sipped coffee watching sunrise,2
waves crashed rocky shoreline,2
children giggled played backyard,2
hummed tune washing dishes,2
aroma freshly cut grass filled air,2
whistled cheerful melody walked street,2
admired intricate details stained glass window,2
smell rain lingered air storm,2
practiced guitar chords late night,2
chirping birds signaled arrival spring,2
gazed window lost thought,2
smell cinnamon spices wafted bakery,2
marveled colorful display flowers garden,2
soft glow candlelight illuminated room,2
wrapped warm blanket chilly evenings,2
sound crickets chirping filled evening air,2
tossed frisbee back forth dog,2
smell pine trees reminded camping trips,2
closed eyes listened sound ocean,2
gentle rustle leaves soothed mind,2
skipped stones across surface pond,2
smell freshly brewed coffee woke morning,2
twirled dress feeling like princess,2
crackling campfire provided warmth cold nights,2
doodled margins notebook class,2
aroma barbecue lingered backyard,2
smiled watched clouds drift,2
scent lavender calmed nerves,2
skipped sidewalk full energy,2
laughter children playing echoed neighborhood,2
picked wildflowers field,2
aroma baking bread filled kitchen,2
sat porch swing enjoying cool breeze,2
sound distant train whistle filled night,2
curled good book fireplace,2
scent freshly brewed tea filled room,2
stargazed rooftop mesmerized constellations,2
soft patter rain roof soothing,2
danced rain feeling alive,2
smell freshly mown hay permeated air,2
lounged hammock enjoying lazy afternoon,2
