sentence,label
unless flown airplane probably never traveled faster 150 mph,1
imagine traveling train like one shown goes 300 mph,1
despite high speed people riding train may notice moving unless look window,1
motion even motion 300 mph relative observer,1
chapter learn important identify reference frame order clearly describe motion,1
motion describe one-dimensional,1
within context learn difference distance displacement well difference speed velocity,1
look graphing problem-solving techniques,1
study physics opens kinematics—the study motion without considering causes,1
objects motion everywhere look,1
everything tennis game space-probe flyby planet neptune involves motion,1
resting heart moves blood veins,1
even inanimate objects atoms always moving,1
know something moving,1
location object particular time position,1
precisely need specify position relative convenient reference frame,1
earth often used reference frame often describe position object relates stationary objects reference frame,1
example rocket launch would described terms position rocket respect earth whole professor ’ position could described terms relation nearby white board,1
cases use reference frames stationary motion relative earth,1
describe position person airplane example use airplane earth reference frame,1
thus know fast direction object 's position changing background something else either moving moving known speed direction,1
reference frame coordinate system positions objects described,1
classroom used reference frame,1
classroom walls moving,1
motion walk door measured stationary background classroom walls,1
also tell things classroom moving classmates entering classroom book falling desk,1
also tell direction something moving classroom,1
might say “ teacher moving toward door. ” reference frame allows determine something moving also direction motion,1
could also serve reference frame others ’ movement,1
remained seated classmates left room would measure movement away stationary location,1
classmates left room together perspective motion would change,1
reference frame would moving direction moving classmates,1
learn snap lab description motion quite different viewed different reference frames,1
idea description motion depends reference frame observer known hundreds years,1
17th-century astronomergalileogalilei one first scientists explore idea,1
galileo suggested following thought experiment imagine windowless ship moving constant speed direction along perfectly calm sea,1
way person inside ship determine whether ship moving,1
extend thought experiment also imagining person standing shore,1
person shore determine whether ship moving,1
galileo came amazing conclusion,1
looking person ship person shore describe motion one relative,1
addition descriptions motion would identical,1
person inside ship would describe person land moving past ship,1
person shore would describe ship person inside moving past,1
galileo realized observers moving constant speed direction relative describe motion way,1
galileo discovered description motion meaningful specify reference frame,1
study motion objects must first able describe object ’ position,1
parent drives school car sitting driveway,1
driveway starting position car,1
reach high school car changed position,1
new position school,1
physicists use variables represent terms,1
use represent car ’ position,1
use subscript differentiate initial position d0 final position df,1
addition vectors discuss later bold arrow variable,1
scalars italicized,1
imagine driving house friend 's house located several kilometers away,1
far would drive,1
distance object moves length path initial position final position,1
distance drive friend 's house depends path,1
distance different length straight line two points,1
distance drive friend 's house probably longer straight line two houses,1
often want precise talk position,1
description object ’ motion often includes distance moves,1
instance five kilometer drive school distance traveled 5 kilometers,1
dropping school driving back home parent traveled total distance 10 kilometers,1
car parent end starting position space,1
net change position object displacement greek letter delta meanschange,1
describing drive school distance traveled displacement same—5 kilometers,1
describing entire round trip distance displacement different,1
describe distance include magnitude size amount distance traveled,1
however describe displacement take account magnitude change position direction movement,1
previous example car travels total 10 kilometers drives five kilometers forward toward school five kilometers back opposite direction,1
ascribe forward direction positive opposite direction negative – two quantities cancel added together,1
quantity distance magnitude i.e. big much take account direction called scalar,1
